"Автор","Название"
"А. М. Адамович, Д. А. Гранин","«Блокадная книга»"
"Ч. Т. Айтматов","«И дольше века длится день»"
"В. П. Аксёнов","«Белый пароход»"
"В. П. Аксёнов","«Звёздный билет»"
"В. П. Аксёнов","«Остров Крым»"
"А. Г. Алексин","«Мой брат играет на кларнете»"
"В. К. Арсеньев","«Дерсу Узала»"
"В. П. Астафьев","«Пастух и пастушка»"
"В. П. Астафьев","«Царь-рыба»"
"И. Э. Бабель","«Одесские рассказы»"
"И. Э. Бабель","«Конармия»"
"П. П. Бажов","«Уральские сказы»"
"Г. Г. Белых, Л. Пантелеев","«Республика ШКИД»"
"В. О. Богомолов","«Момент истины»"
"Ю. В. Бондарев","«Батальоны просят огня»"
"Ю. В. Бондарев","«Горячий снег»"
"А. Н. Боханов","«Император Александр III»"
"М. А. Булгаков","«Белая гвардия»"
"Кир Булычёв","«Приключения Алисы»"
"И. А. Бунин","«Тёмные аллеи»"
"В. В. Быков","«Мертвым не больно»"
"В. В. Быков","«Сотников»"
"Б. Л. Васильев","«А зори здесь тихие…»"
"Б. Л. Васильев","«В списках не значился»"
"Г. В. Вернадский","«Начертание русской истории»"
"А. М. Волков","«Волшебник Изумрудного города»"
"А. П. Гайдар","«Тимур и его команда»"
"А. П. Гайдар","«Чук и Гек»"
"А. П. Гайдар","«Голубая чашка»"
"Р. Г. Гамзатов","«Мой Дагестан»"
"Р. Г. Гамзатов","«Стихотворения»"
"В. А. Гиляровский","«Москва и москвичи»"
"И. А. Гончаров","«Обыкновенная история»"
"А. Б. Горянин","«Россия. История успеха»"
"А. С. Грин","«Алые паруса»"
"А. С. Грин","«Бегущая по волнам»"
"Л. Н. Гумилёв","«От Руси к России»"
"Н. С. Гумилёв","«Стихотворения»"
"А. И. Деникин","«Очерки русской смуты»"
"Муса Джалиль","«Моабитская тетрадь»"
"С. Д. Довлатов","«Зона»"
"С. Д. Довлатов","«Чемодан»"
"С. Д. Довлатов","«Заповедник»"
"С. Д. Довлатов","«Рассказы»"
"Ф. М. Достоевский","«Идиот»"
"В. Ю. Драгунский","«Денискины рассказы»"
"В. Д. Дудинцев","«Белые одежды»"
"Н. В. Думбадзе","«Я, бабушка, Илико и Илларион»"
"М. Ибрагимбеков","«И не было лучше брата»"
"И. А. Ильин","«О России. Три речи»"
"Ильф и Петров","«Двенадцать стульев»"
"Ильф и Петров","«Золотой телёнок»"
"А. О. Ишимова","«История России в рассказах для детей»"
"Ф. А. Искандер","«Сандро из Чегема»"
"В. А. Каверин","«Два капитана»"
"В. А. Каверин","«Открытая книга»"
"Л. А. Кассиль","«Будьте готовы, Ваше высочество!»"
"Л. А. Кассиль","«Кондуит и Швамбрания»"
"В. П. Катаев","«Белеет парус одинокий»"
"В. Л. Кондратьев","«Сашка»"
"Н. П. Кончаловская","«Наша древняя столица»"
"В. П. Крапивин","«Мальчик со шпагой»"
"В. Кузьмин","«Сокровище нартов: Из кабардинских и балкарских сказаний о богатырях-нартах»"
"А. И. Куприн","«Поединок»"
"А. И. Куприн","«Гранатовый браслет»"
"Л. И. Лагин","«Старик Хоттабыч»"
"Н. С. Лесков","«Очарованный странник»"
"Д. С. Лихачёв","«Слово о полку Игореве» и культура его времени"
"Д. С. Лихачёв","«Раздумья о России»"
"Д. С. Лихачёв","«Рассказы русских летописей XII—XIV вв.»"
"Ю. М. Лотман","«Беседы о русской культуре»"
"Ю. М. Лотман","Роман А. С. Пушкина «Евгений Онегин». Комментарий"
"В. В. Набоков","«Дар»"
"В. В. Набоков","«Защита Лужина»"
"В. В. Набоков","«Приглашение на казнь»"
"В. П. Некрасов","«В окопах Сталинграда»"
"Н. Н. Носов","«Приключения Незнайки и его друзей»"
"Н. Н. Носов","«Незнайка на Луне»"
"Н. Н. Носов","«Живая шляпа»"
"Н. Н. Носов","«Мишкина каша»"
"В. А. Обручев","«Земля Санникова»"
"Ю. К. Олеша","«Три толстяка»"
"Н. А. Островский","«Как закалялась сталь»"
"К. Г. Паустовский","«Повесть о жизни»"
"К. Г. Паустовский","«Мещёрская сторона»"
"В. С. Пикуль","«Реквием каравану PQ-17»"
"В. С. Пикуль","«Миниатюры»"
"А. И. Приставкин","«Ночевала тучка золотая»"
"Л. С. Петрушевская","«Рассказы и повести»"
"Б. Н. Полевой","«Повесть о настоящем человеке»"
"Козьма Прутков","«Сочинения»"
"В. Г. Распутин","«Прощание с Матёрой»"
"Р. И. Рождественский","«Стихотворения»"
"Н. М. Рубцов","«Стихотворения»"
"Шота Руставели","«Витязь в тигровой шкуре»"
"А. Н. Рыбаков","«Кортик»"
"А. Н. Рыбаков","«Бронзовая птица»"
"А. Н. Рыбаков","«Выстрел»"
"Д. Самойлов","«Стихотворения»"
"К. М. Симонов","«Стихотворения»"
"К. М. Симонов","«Живые и мёртвые»"
"Л. В. Соловьёв","«Повесть о Ходже Насреддине»"
"Братья Стругацкие","«Понедельник начинается в субботу»"
"Братья Стругацкие","«Трудно быть богом»"
"В. С. Токарева","«Рассказы и повести»"
"А. К. Толстой","«Князь Серебряный»"
"Л. Н. Толстой","«Хаджи-Мурат»"
"Л. Н. Толстой","«Казаки»"
"Л. Н. Толстой","«Анна Каренина»"
"Г. Тукай","«Шурале»"
"Ю. Н. Тынянов","«Пушкин»"
"Ю. Н. Тынянов","«Смерть Вазир-Мухтара»"
"Э. Н. Успенский","«Крокодил Гена и его друзья»"
"Э. Н. Успенский","«Дядя Фёдор, пёс и кот»"
"А. А. Фадеев","«Молодая гвардия»"
"А. А. Фадеев","«Разгром»"
"Р. И. Фраерман","«Дикая собака Динго, или Повесть о первой любви»"
"К. Л. Хетагуров","«Стихотворения»"
"Е. Л. Шварц","«Дракон»"
"Е. Л. Шварц","«Снежная королева»"
"В. М. Шукшин","«Рассказы»"
"Н. Я. Эйдельман","«Лунин»"
"Н. Я. Эйдельман","«Твой XIX век»"
"И. Г. Эренбург","«Люди, годы, жизнь»"
"В. Г. Ян","«Чингиз-хан. Батый. К последнему морю»"
"В. Л. Янин","«Я послал тебе бересту»"
"Эпосы, былины, летописи","«Алпамыш»"
"Эпосы, былины, летописи","«Гэсэр»"
"Эпосы, былины, летописи","«Давид Сасунский»"
"Эпосы, былины, летописи","«Джангар»"
"Эпосы, былины, летописи","«Калевала»"
"Эпосы, былины, летописи","«Кёр-оглы»"
"Эпосы, былины, летописи","«Манас»"
"Эпосы, былины, летописи","«Олонхо»"
"Эпосы, былины, летописи","«Урал-батыр»"
"Эпосы, былины, летописи","«Древние российские стихотворения, собранные Киршею Даниловым»"
"Эпосы, былины, летописи","«Повесть временных лет»"
"Эпосы, былины, летописи","«Былины» (сост. Чичеров В., Ухов П.)"
"Эпосы, былины, летописи","«Сказки народов России» (сост. Ватагин М.)"
